CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
a8a260b316c7   case2-edgeIoTDevSim-2    0.00%     48.82MiB / 500MiB     9.76%     2.28MB / 26.7kB   0B / 0B     21
dc0297962cca   case2-edgeIoTDevSim-8    0.00%     46.98MiB / 500MiB     9.40%     2.28MB / 25.7kB   0B / 0B     21
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
1fe31cc85306   edge_data_manager        0.00%     66.16MiB / 31.35GiB   0.21%     2.28MB / 27.9kB   0B / 0B     31
9ecf84aa221b   cloud_server             0.00%     67.38MiB / 31.35GiB   0.21%     2.28MB / 43.9kB   0B / 0B     31
fd7e0ba8a7a5   edge_subscriber          0.11%     46.04MiB / 31.35GiB   0.14%     2.28MB / 31.8kB   0B / 0B     21
34d1c0dc9803   case2-edgeIoTDevSim-6    0.00%     46.85MiB / 500MiB     9.37%     2.28MB / 29.2kB   0B / 0B     21
150cb8d94be8   edge_iot_smart_dev       0.13%     47.66MiB / 31.35GiB   0.15%     2.28MB / 24.1kB   0B / 0B     21
8b80ede0e753   case2-edgeIoTDevSim-5    0.00%     51.13MiB / 500MiB     10.23%    2.28MB / 24.3kB   0B / 0B     21
8d856a63f6cd   case2-edgeIoTDevSim-4    0.00%     46.95MiB / 500MiB     9.39%     2.28MB / 25.8kB   0B / 0B     21
aee31d45a70c   case2-edgeIoTDevSim-1    0.00%     49MiB / 500MiB        9.80%     2.28MB / 23.4kB   0B / 0B     21
9b541bd08d59   cloud_broker             0.06%     64.52MiB / 31.35GiB   0.20%     2.28MB / 25.4kB   0B / 0B     21
7fe0e8872011   case2-mongodb-1          0.58%     94.78MiB / 31.35GiB   0.30%     30.4kB / 16.7kB   0B / 0B     43
d9607c54902e   case2-edgeIoTDevSim-7    0.00%     49.07MiB / 500MiB     9.81%     2.27MB / 26.8kB   0B / 0B     21
98eb09368e2c   case2-edgeIoTDevSim-3    0.00%     47.2MiB / 500MiB      9.44%     2.28MB / 23.7kB   0B / 0B     21
d3c892f1bea9   cloud_client             0.00%     49.55MiB / 31.35GiB   0.15%     2.28MB / 22.3kB   0B / 0B     21
1a3ee561cd94   case2-edgeIoTDevSim-9    0.06%     44.81MiB / 500MiB     8.96%     2.28MB / 30.9kB   0B / 0B     21
d45d62482136   case2-edgeIoTDevSim-10   0.06%     49.09MiB / 500MiB     9.82%     2.27MB / 24.6kB   0B / 0B     21
4af7e856a5c3   edge_broker              0.76%     67.63MiB / 31.35GiB   0.21%     2.3MB / 67.7kB    0B / 0B     21
590beb10cb13   cloud_publisher          0.07%     47MiB / 31.35GiB      0.15%     2.28MB / 26.9kB   0B / 0B     21
a8a260b316c7   case2-edgeIoTDevSim-2    0.06%     48.95MiB / 500MiB     9.79%     2.28MB / 26.9kB   0B / 0B     21
dc0297962cca   case2-edgeIoTDevSim-8    0.00%     46.98MiB / 500MiB     9.40%     2.28MB / 25.7kB   0B / 0B     21
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
1fe31cc85306   edge_data_manager        0.00%     66.16MiB / 31.35GiB   0.21%     2.28MB / 27.9kB   0B / 0B     31
9ecf84aa221b   cloud_server             0.00%     67.38MiB / 31.35GiB   0.21%     2.28MB / 43.9kB   0B / 0B     31
fd7e0ba8a7a5   edge_subscriber          0.00%     46.07MiB / 31.35GiB   0.14%     2.28MB / 31.9kB   0B / 0B     21
34d1c0dc9803   case2-edgeIoTDevSim-6    0.00%     46.86MiB / 500MiB     9.37%     2.28MB / 29.4kB   0B / 0B     21
150cb8d94be8   edge_iot_smart_dev       0.15%     47.75MiB / 31.35GiB   0.15%     2.28MB / 24.1kB   0B / 0B     21
8b80ede0e753   case2-edgeIoTDevSim-5    0.05%     51.14MiB / 500MiB     10.23%    2.28MB / 24.5kB   0B / 0B     21
8d856a63f6cd   case2-edgeIoTDevSim-4    0.00%     46.95MiB / 500MiB     9.39%     2.28MB / 25.8kB   0B / 0B     21
aee31d45a70c   case2-edgeIoTDevSim-1    0.00%     49MiB / 500MiB        9.80%     2.28MB / 23.4kB   0B / 0B     21
9b541bd08d59   cloud_broker             0.00%     64.52MiB / 31.35GiB   0.20%     2.28MB / 25.4kB   0B / 0B     21
7fe0e8872011   case2-mongodb-1          0.39%     94.78MiB / 31.35GiB   0.30%     32kB / 17.2kB     0B / 0B     43
d9607c54902e   case2-edgeIoTDevSim-7    0.00%     49.07MiB / 500MiB     9.81%     2.27MB / 26.8kB   0B / 0B     21
98eb09368e2c   case2-edgeIoTDevSim-3    0.00%     47.2MiB / 500MiB      9.44%     2.28MB / 23.7kB   0B / 0B     21
d3c892f1bea9   cloud_client             0.00%     49.55MiB / 31.35GiB   0.15%     2.28MB / 22.3kB   0B / 0B     21
1a3ee561cd94   case2-edgeIoTDevSim-9    0.00%     44.81MiB / 500MiB     8.96%     2.28MB / 30.9kB   0B / 0B     21
d45d62482136   case2-edgeIoTDevSim-10   0.00%     49.09MiB / 500MiB     9.82%     2.27MB / 24.6kB   0B / 0B     21
4af7e856a5c3   edge_broker              0.17%     66.71MiB / 31.35GiB   0.21%     2.3MB / 69.7kB    0B / 0B     21
590beb10cb13   cloud_publisher          0.00%     47MiB / 31.35GiB      0.15%     2.28MB / 26.9kB   0B / 0B     21
a8a260b316c7   case2-edgeIoTDevSim-2    0.00%     48.84MiB / 500MiB     9.77%     2.28MB / 26.9kB   0B / 0B     21
dc0297962cca   case2-edgeIoTDevSim-8    0.00%     46.99MiB / 500MiB     9.40%     2.28MB / 25.9kB   0B / 0B     21
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
1fe31cc85306   edge_data_manager        0.08%     66.17MiB / 31.35GiB   0.21%     2.28MB / 28.3kB   0B / 0B     31
9ecf84aa221b   cloud_server             0.00%     67.39MiB / 31.35GiB   0.21%     2.28MB / 44.2kB   0B / 0B     31
fd7e0ba8a7a5   edge_subscriber          0.10%     46.14MiB / 31.35GiB   0.14%     2.28MB / 32.1kB   0B / 0B     21
34d1c0dc9803   case2-edgeIoTDevSim-6    0.00%     46.86MiB / 500MiB     9.37%     2.28MB / 29.4kB   0B / 0B     21
150cb8d94be8   edge_iot_smart_dev       0.16%     47.84MiB / 31.35GiB   0.15%     2.28MB / 24.1kB   0B / 0B     21
8b80ede0e753   case2-edgeIoTDevSim-5    0.00%     51.14MiB / 500MiB     10.23%    2.28MB / 24.5kB   0B / 0B     21
8d856a63f6cd   case2-edgeIoTDevSim-4    0.00%     46.96MiB / 500MiB     9.39%     2.28MB / 26kB     0B / 0B     21
aee31d45a70c   case2-edgeIoTDevSim-1    0.00%     49.02MiB / 500MiB     9.80%     2.28MB / 23.6kB   0B / 0B     21
